Hypothesis,ValHypothesis,Report,Reliability
"(1, 1, 0) stole from 0.0",True,"(1, 1, 0) stole from 0.0",True
"(1, 1, 0) stole from 0.0",True,"(1, 1, 0) stole from 0.0",True
"(1, 2, 0) stole from 0.0",False,"(1, 2, 0) stole from 0.0",False
"(1, 1, 0) stole from 4.0",False,"(1, 1, 0) stole from 4.0",False
"(2, 1, 0) stole from 2.0",False,"(2, 1, 0) stole from 2.0",False
"(1, 1, 0) stole from 0.0",True,"(1, 1, 0) stole from 0.0",True
"(1, 0, 2) stole from 5.0",False,"(1, 0, 2) stole from 5.0",False
"(2, 2, 1) stole from 7.0",True,"(2, 2, 1) stole from 7.0",True
"(1, 0, 0) stole from 3.0",True,"(1, 0, 0) stole from 3.0",False
"(2, 2, 1) stole from 5.0",True,"(2, 2, 1) stole from 5.0",False
"(2, 2, 1) stole from 5.0",True,"(2, 2, 1) stole from 5.0",False
"(0, 2, 1) stole from 5.0",False,"(0, 2, 1) stole from 5.0",False
"(2, 1, 0) stole from 8.0",True,"(2, 1, 0) stole from 8.0",True
"(2, 1, 1) stole from 2.0",True,"(2, 1, 1) stole from 2.0",False
"(2, 1, 1) stole from 0.0",True,"(2, 1, 1) stole from 0.0",True
"(2, 0, 1) stole from 0.0",False,"(2, 0, 1) stole from 0.0",False
"(1, 1, 0) stole from 0.0",False,"(1, 1, 0) stole from 0.0",False
"(2, 1, 1) stole from 0.0",True,"(2, 1, 1) stole from 0.0",True
"(1, 1, 0) stole from 0.0",False,"(1, 1, 0) stole from 0.0",False
"(0, 1, 0) stole from 2.0",False,"(0, 1, 0) stole from 2.0",False
"(0, 2, 0) stole from 8.0",True,"(0, 2, 0) stole from 8.0",True
"(2, 1, 2) stole from 3.0",False,"(2, 1, 2) stole from 3.0",False
"(0, 2, 0) stole from 8.0",True,"(0, 2, 0) stole from 8.0",True
"(1, 2, 0) stole from 3.0",False,"(1, 2, 0) stole from 3.0",False
"(0, 2, 0) stole from 8.0",True,"(0, 2, 0) stole from 8.0",True
"(0, 2, 1) stole from 3.0",False,"(0, 2, 1) stole from 3.0",False
"(1, 1, 0) stole from 0.0",True,"(1, 1, 0) stole from 0.0",True
"(0, 2, 2) stole from 6.0",False,"(0, 2, 2) stole from 6.0",False
"(0, 2, 0) stole from 6.0",True,"(0, 2, 0) stole from 6.0",True
"(0, 1, 1) stole from 6.0",False,"(0, 1, 1) stole from 6.0",False
"(1, 1, 0) stole from 0.0",True,"(1, 1, 0) stole from 0.0",True
"(1, 0, 0) stole from 0.0",False,"(1, 0, 0) stole from 0.0",False
"(1, 1, 2) stole from 5.0",False,"(1, 1, 2) stole from 5.0",False
"(1, 1, 0) stole from 5.0",True,"(1, 1, 0) stole from 5.0",True
"(2, 1, 2) stole from 7.0",True,"(2, 1, 2) stole from 7.0",True
"(0, 2, 1) stole from 2.0",True,"(0, 2, 1) stole from 2.0",True
"(0, 2, 1) stole from 1.0",True,"(0, 2, 1) stole from 1.0",True
"(1, 1, 2) stole from 9.0",False,"(1, 1, 2) stole from 9.0",False
"(1, 2, 2) stole from 3.0",False,"(1, 2, 2) stole from 3.0",False
"(2, 1, 2) stole from 9.0",False,"(2, 1, 2) stole from 9.0",False
"(1, 1, 2) stole from 3.0",True,"(1, 1, 2) stole from 3.0",True
"(2, 0, 2) stole from 9.0",False,"(2, 0, 2) stole from 9.0",False
"(1, 1, 2) stole from 3.0",True,"(1, 1, 2) stole from 3.0",True
"(0, 2, 2) stole from 8.0",True,"(0, 2, 2) stole from 8.0",True
"(0, 1, 2) stole from 8.0",False,"(0, 1, 2) stole from 8.0",False
"(0, 2, 2) stole from 8.0",True,"(0, 2, 2) stole from 8.0",False
"(2, 0, 2) stole from 8.0",False,"(2, 0, 2) stole from 8.0",False
"(0, 1, 1) stole from 3.0",False,"(0, 1, 1) stole from 3.0",False
"(0, 2, 2) stole from 7.0",False,"(0, 2, 2) stole from 7.0",False
"(0, 0, 2) stole from 3.0",True,"(0, 0, 2) stole from 3.0",True
"(0, 0, 2) stole from 7.0",True,"(0, 0, 2) stole from 7.0",False
"(0, 0, 1) stole from 3.0",False,"(0, 0, 1) stole from 3.0",False
"(0, 2, 1) stole from 7.0",False,"(0, 2, 1) stole from 7.0",False
"(0, 0, 2) stole from 0.0",True,"(0, 0, 2) stole from 0.0",True
"(0, 0, 2) stole from 0.0",True,"(0, 0, 2) stole from 0.0",True
"(0, 1, 2) stole from 4.0",True,"(0, 1, 2) stole from 4.0",True
