observer,real_thief,victim,time_testimony,time_crime,place_observer,place_theft,vision_perturb,observed_thief,memory_perturb,memorized_thief,veracity_perturb,testified_thief,run
2.0,"(1, 1, 0)",0.0,80.0,21.0,"(25, 28)","(12, 26)",False,"(1, 1, 0)",False,"(1, 1, 0)",False,"(1, 1, 0)",0
3.0,"(1, 1, 0)",0.0,80.0,21.0,"(21, 45)","(12, 26)",False,"(1, 1, 0)",False,"(1, 1, 0)",False,"(1, 1, 0)",0
4.0,"(1, 1, 0)",0.0,80.0,21.0,"(18, 41)","(12, 26)",False,"(1, 1, 0)",True,"(1, 2, 0)",False,"(1, 2, 0)",0
5.0,"(1, 0, 0)",4.0,80.0,21.0,"(25, 17)","(11, 26)",False,"(1, 0, 0)",True,"(1, 1, 0)",False,"(1, 1, 0)",0
5.0,"(2, 1, 1)",2.0,80.0,21.0,"(25, 17)","(11, 26)",False,"(2, 1, 1)",False,"(2, 1, 1)",True,"(2, 1, 0)",0
5.0,"(1, 1, 0)",0.0,80.0,21.0,"(25, 17)","(12, 26)",False,"(1, 1, 0)",False,"(1, 1, 0)",False,"(1, 1, 0)",0
7.0,"(0, 1, 0)",5.0,80.0,26.0,"(21, 8)","(16, 24)",False,"(0, 1, 0)",True,"(1, 0, 2)",False,"(1, 0, 2)",0
6.0,"(2, 2, 1)",7.0,80.0,12.0,"(18, 30)","(36, 31)",False,"(2, 2, 1)",False,"(2, 2, 1)",False,"(2, 2, 1)",1
4.0,"(1, 0, 0)",3.0,80.0,39.0,"(20, 29)","(44, 6)",False,"(1, 0, 0)",False,"(1, 0, 0)",True,"(1, 0, 0)",1
4.0,"(2, 2, 1)",5.0,80.0,43.0,"(20, 29)","(43, 3)",False,"(2, 2, 1)",False,"(2, 2, 1)",True,"(2, 2, 1)",1
9.0,"(2, 2, 1)",5.0,80.0,43.0,"(31, 17)","(43, 3)",False,"(2, 2, 1)",True,"(2, 2, 1)",False,"(2, 2, 1)",1
9.0,"(2, 2, 1)",5.0,80.0,43.0,"(31, 17)","(43, 3)",False,"(2, 2, 1)",False,"(2, 2, 1)",True,"(0, 2, 1)",1
5.0,"(2, 1, 0)",8.0,80.0,5.0,"(30, 29)","(28, 40)",False,"(2, 1, 0)",False,"(2, 1, 0)",False,"(2, 1, 0)",2
4.0,"(2, 1, 1)",2.0,80.0,21.0,"(9, 34)","(44, 24)",False,"(2, 1, 1)",False,"(2, 1, 1)",True,"(2, 1, 1)",2
2.0,"(2, 1, 1)",0.0,80.0,29.0,"(22, 30)","(37, 41)",False,"(2, 1, 1)",False,"(2, 1, 1)",False,"(2, 1, 1)",2
6.0,"(2, 1, 1)",0.0,80.0,29.0,"(33, 49)","(37, 41)",False,"(2, 1, 1)",True,"(2, 0, 1)",False,"(2, 0, 1)",2
7.0,"(2, 1, 1)",0.0,80.0,29.0,"(31, 39)","(37, 41)",False,"(2, 1, 1)",False,"(2, 1, 1)",True,"(1, 1, 0)",2
9.0,"(2, 1, 1)",0.0,80.0,29.0,"(2, 30)","(37, 41)",False,"(2, 1, 1)",False,"(2, 1, 1)",False,"(2, 1, 1)",2
9.0,"(2, 1, 1)",0.0,80.0,29.0,"(2, 30)","(37, 41)",True,"(1, 1, 0)",False,"(1, 1, 0)",True,"(1, 1, 0)",2
7.0,"(0, 0, 1)",2.0,80.0,7.0,"(23, 22)","(17, 42)",False,"(0, 0, 1)",True,"(0, 1, 0)",False,"(0, 1, 0)",3
0.0,"(0, 2, 0)",8.0,80.0,9.0,"(43, 33)","(24, 20)",False,"(0, 2, 0)",False,"(0, 2, 0)",False,"(0, 2, 0)",3
0.0,"(1, 1, 0)",3.0,80.0,9.0,"(43, 33)","(24, 20)",False,"(1, 1, 0)",False,"(1, 1, 0)",True,"(2, 1, 2)",3
1.0,"(0, 2, 0)",8.0,80.0,9.0,"(41, 38)","(24, 20)",False,"(0, 2, 0)",False,"(0, 2, 0)",False,"(0, 2, 0)",3
1.0,"(1, 1, 0)",3.0,80.0,9.0,"(41, 38)","(24, 20)",False,"(1, 1, 0)",True,"(1, 2, 0)",False,"(1, 2, 0)",3
5.0,"(0, 2, 0)",8.0,80.0,9.0,"(24, 23)","(24, 20)",False,"(0, 2, 0)",False,"(0, 2, 0)",False,"(0, 2, 0)",3
